ulex_entry	clex_entries	ruling
noun_sg(payer,payer,neutr)	noun_sg(payer,payer,human)	clex reads payer as human-gender; corpus relative clauses and pronouns bind identically under neutr; restoration recompile left semantic clauses byte-identical for this surface
noun_sg(acupuncture,acupuncture,neutr)	noun_mass(acupuncture,acupuncture,neutr)	clex adds a mass reading; every corpus occurrence is a determined singular NP, so the countable ulex reading parses; restoration recompile left semantic clauses byte-identical for this surface
noun_sg(confusion,confusion,neutr)	noun_mass(confusion,confusion,neutr)	clex adds a mass reading; every corpus occurrence is a determined singular NP, so the countable ulex reading parses; restoration recompile left semantic clauses byte-identical for this surface
noun_sg(constipation,constipation,neutr)	noun_mass(constipation,constipation,neutr)	clex adds a mass reading; every corpus occurrence is a determined singular NP, so the countable ulex reading parses; restoration recompile left semantic clauses byte-identical for this surface
noun_sg(discordance,discordance,neutr)	noun_mass(discordance,discordance,neutr)	clex adds a mass reading; every corpus occurrence is a determined singular NP, so the countable ulex reading parses; restoration recompile left semantic clauses byte-identical for this surface
noun_sg(drowsiness,drowsiness,neutr)	noun_mass(drowsiness,drowsiness,neutr)	clex adds a mass reading; every corpus occurrence is a determined singular NP, so the countable ulex reading parses; restoration recompile left semantic clauses byte-identical for this surface
noun_sg(heart-failure,heart-failure,neutr)	noun_mass(heart-failure,heart-failure,neutr)	clex adds a mass reading; every corpus occurrence is a determined singular NP, so the countable ulex reading parses; restoration recompile left semantic clauses byte-identical for this surface
noun_sg(initiation,initiation,neutr)	noun_mass(initiation,initiation,neutr)	clex adds a mass reading; every corpus occurrence is a determined singular NP, so the countable ulex reading parses; restoration recompile left semantic clauses byte-identical for this surface
noun_sg(nausea,nausea,neutr)	noun_mass(nausea,nausea,neutr)	clex adds a mass reading; every corpus occurrence is a determined singular NP, so the countable ulex reading parses; restoration recompile left semantic clauses byte-identical for this surface
noun_sg(taper,taper,neutr)	iv_infpl(taper,taper)+noun_sg(taper,taper,human)+tv_infpl(taper,taper)	clex adds human-noun + intransitive/transitive verb readings; every corpus occurrence is a determined singular NP, so the countable neutr noun reading parses; restoration recompile left semantic clauses byte-identical for this surface
noun_sg(well-being,well-being,neutr)	noun_mass(well-being,well-being,neutr)	clex adds a mass reading; every corpus occurrence is a determined singular NP, so the countable ulex reading parses; restoration recompile left semantic clauses byte-identical for this surface
noun_sg(yoga,yoga,neutr)	noun_mass(yoga,yoga,neutr)	clex adds a mass reading; every corpus occurrence is a determined singular NP, so the countable ulex reading parses; restoration recompile left semantic clauses byte-identical for this surface
tv_infpl(pause,pause)	iv_infpl(pause,pause)+noun_sg(pause,pause,neutr)	clex adds intransitive-verb + noun readings; every corpus occurrence is a finite transitive frame with a direct object, so the tv reading parses; restoration recompile left semantic clauses byte-identical for this surface
